raw_term,standard_term
리더쉽,리더십
릴레이션,관계
엘레베이터,엘리베이터
엘베,엘리베이터
워라벨,워라밸
워크샵,워크숍
월루,월급루팡
팀웍,팀워크
가스 라이팅,가스라이팅
건강 검진,건강검진
경력 개발,경력개발
고용 불안,고용불안
공유 오피스,공유오피스
교육비 지원,교육비지원
교통비 지원,교통비지원
구내 식당,구내식당
구조 조정,구조조정
권고 사직,권고사직
근로 계약서,근로계약서
근로 기준법,근로기준법
근무 제도,근무제도
기업 문화,기업문화
꼰대 문화,꼰대문화
닉네임 문화,닉네임문화
단순 반복,단순반복
대인 관계,대인관계
대체 휴가,대체휴가
동기 부여,동기부여
라인 타기,라인타기
리프레시 휴가,리프레시휴가
목표 달성,목표달성
반복 업무,반복업무
밤샘 근무,밤샘근무
밥 값,밥값
보상 체계,보상체계
복리 후생,복리후생
복지 정책,복지정책
복지 혜택,복지혜택
부서 바이 부서,부서바이부서
부서 이기주의,부서이기주의
부서바이 부서,부서바이부서
비포괄 임금,비포괄임금
비포괄 임금제,비포괄임금제
사내 교육,사내교육
사내 문화,사내문화
사내 복지,사내복지
사내 분위기,사내분위기
사내 정치,사내정치
사내 카페,사내카페
사람 바이 사람,사람바이사람
사무 환경,사무환경
상하 관계,상하관계
선택 근무제,선택근무제
선택적 근무,선택적근무
성과 관리,성과관리
성과 보상,성과보상
성과 지표,성과지표
성과 평가,성과평가
성장 가능성,성장가능성
성장 기회,성장기회
세대 교체,세대교체
수습 기간,수습기간
수직 관계,수직관계
수직 구조,수직구조
수평 문화,수평문화
수평 조직,수평조직
수평적 문화,수평적문화
술 강요,술강요
승진 기준,승진기준
승진 제도,승진제도
시차 출퇴근,시차출퇴근
식비 지원,식비지원
신입 교육,신입교육
신입 사원,신입사원
아랫 사람,아랫사람
아침 식사,아침식사
야간 수당,야간수당
야근 문화,야근문화
야근 수당,야근수당
야근 식대,야근식대
업무 강도,업무강도
업무 량,업무량
업무 분위기,업무분위기
업무 분장,업무분장
업무 인계,인수인계
업무 지원,업무지원
업무 체계,업무체계
업무 평가,업무평가
업무 프로세스,업무프로세스
업무 환경,업무환경
업무 효율,업무효율
업무인계,인수인계
여름 휴가,여름휴가
연봉 상승률,연봉상승률
연봉 수준,연봉수준
연봉 인상,연봉인상
연봉 인상률,연봉인상률
연봉 체계,연봉체계
연봉 협상,연봉협상
연장 수당,연장수당
연차 눈치,연차눈치
연차 사용,연차사용
연차 소진,연차소진
영어 이름,영어이름
우선 순위,우선순위
원격 근무,원격근무
월급 루팡,월급루팡
유대 관계,유대관계
유연 근무,유연근무
유연 근무제,유연근무제
육아 휴직,육아휴직
의사 소통,의사소통
인간 관계,인간관계
인격 모독,인격모독
인사 고과,인사고과
인사 발령,인사발령
인사 이동,인사이동
인사 제도,인사제도
인사 팀,인사팀
인사 평가,인사평가
인수 인계,인수인계
일의 강도,업무강도
자기 개발,자기개발
자기 계발,자기계발
자기 분야,자기분야
자기개발 비,자기개발비
자기계발 비,자기계발비
자유 출퇴근,자유출퇴근
자율 출퇴근,자율출퇴근
잔업 수당,잔업수당
잦은 퇴사,잦은퇴사
재무 상태,재무상태
재택 근무,재택근무
저녁 식대,저녁식대
저녁 식사,저녁식사
점심 밥,점심밥
점심 시간,점심시간
점심 식대,점심식대
점심 식사,점심식사
정규직 전환,정규직전환
정보 공유,정보공유
정시 퇴근,정시퇴근
조직 개편,조직개편
조직 구조,조직구조
조직 문화,조직문화
조직 체계,조직체계
주 40시간,주40시간
주 52시간,주52시간
주말 수당,주말수당
주차 공간,주차공간
주차 지원,주차지원
중식 지원,중식지원
지점 바이 지점,지점바이지점
직급 관계,직급관계
직급 구조,직급구조
직급 체계,직급체계
직무 교육,직무교육
직원 복지,직원복지
직장 내 괴롭힘,직장내괴롭힘
직장내 괴롭힘,직장내괴롭힘
차량 지원,차량지원
초과 근무,초과근무
초과 수당,초과수당
초과근무 수당,초과근무수당
최저 임금,최저임금
추가 근무,추가근무
출근 시간,출근시간
출산 휴가,출산휴가
출퇴근 시간,출퇴근시간
칼 퇴근,칼퇴근
커리어 개발,커리어개발
케이스 바이 케이스,케이스바이케이스
탄력 근무,탄력근무
탄력 근무제,탄력근무제
탄력적 근무,탄력근무
택시비 지원,택시비지원
통근 시간,통근시간
퇴근 시간,퇴근시간
투자 유치,투자유치
팀 바이 팀,팀바이팀
팀 워크,팀워크
팀바이 팀,팀바이팀
파견 직,파견직
평가 체계,평가체계
평생 직장,평생직장
포괄 임금,포괄임금
포괄 임금제,포괄임금제
프로젝트 관리,프로젝트관리
회사 문화,회사문화
회사 분위기,회사분위기
회사 생활,회사생활
회식 강요,회식강요
회식 문화,회식문화
휴게 공간,휴게공간
