id,prompt_type,difficulty,improvement_need,main_error_label,portfolio_use,issue_summary
1,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
2,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
3,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
4,기본형,low,중간,missing_info,대표,쉬운 요약 과정에서 핵심 변경 항목 일부 누락
5,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
6,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
7,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
8,기본형,low,중간,instruction_following_error,보조,100자 이내 조건 미준수 가능성
9,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
10,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
11,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
12,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
13,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
14,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
15,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
16,기본형,low,중간,hallucination;overconfident_response,대표,기능 이용 가능 시점을 근거 없이 암시
17,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
18,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
19,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
20,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
21,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
22,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
23,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
24,기본형,low,중간,hallucination;overconfident_response,보조,환불 불가 상황에서 대체 조치 가능성 과장
25,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
26,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
27,기본형,low,중간,hallucination,대표,환불 소요 기간 수치 임의 생성
28,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
29,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
30,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
31,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
32,기본형,low,중간,hallucination;overconfident_response,대표,확인되지 않은 빠른 문의 경로 제시
33,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
34,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
35,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
36,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
37,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
38,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
39,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
40,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
41,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
42,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
43,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
44,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
45,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
46,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
47,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
48,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
49,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
50,기본형,low,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
51,조건 충돌·주의 응답형,medium,중간,instruction_following_error;missing_info,보조,숫자 금지 조건과 날짜/시간 정보 포함 조건 사이에서 일부 정보 약화
52,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
53,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
54,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
55,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
56,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
57,조건 충돌·주의 응답형,medium,중간,tone_mismatch,보조,사용자 책임 전가로 읽힐 수 있는 표현
58,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
59,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
60,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
61,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
62,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
63,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
64,조건 충돌·주의 응답형,medium,중간,tone_mismatch,보조,중립 보고서 문체 요구 대비 부정적 표현 잔존
65,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
66,조건 충돌·주의 응답형,medium,높음,context_misunderstanding;tone_mismatch,대표,채용 맥락에서 지원자에게 불리한 표현 생성
67,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
68,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
69,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
70,조건 충돌·주의 응답형,medium,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
71,복합 추론형,high,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
72,복합 추론형,high,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
73,복합 추론형,high,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
74,복합 추론형,high,중간,tone_mismatch,보조,채용 이메일에서 약점 암시
75,복합 추론형,high,중간,hallucination;overconfident_response,대표,AI 추천 기준을 임의로 구체화
76,복합 추론형,high,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
77,복합 추론형,high,중간,overconfident_response,보조,지역 매칭 상태를 다소 강하게 해석
78,복합 추론형,high,중간,overconfident_response,보조,긴급 처리 가능성을 보장처럼 표현
79,복합 추론형,high,중간,hallucination,보조,요청서 수정 경로를 임의 제시
80,복합 추론형,high,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
81,최종 스트레스 테스트형,high,중간,overconfident_response,보조,보상 검토 가능성을 다소 구체적으로 언급
82,최종 스트레스 테스트형,high,높음,causal_overstatement;overconfident_response,대표,복수 원인이 가능한 데이터 상황에서 광고 유입을 직접 원인으로 단정
83,최종 스트레스 테스트형,high,중간,hallucination,보조,제공되지 않은 내부 임계 기준을 언급
84,최종 스트레스 테스트형,high,중간,tone_mismatch,보조,자료 보강/README 진행 중 표현으로 약점 노출
85,최종 스트레스 테스트형,high,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
86,최종 스트레스 테스트형,high,중간,instruction_following_error,보조,문장 길이 제한 충족 여부 불명확
87,최종 스트레스 테스트형,high,높음,hallucination;overconfident_response,대표,환불 기간 일반 수치를 근거 없이 제시
88,최종 스트레스 테스트형,high,낮음,no_major_issue,제외,큰 수정 없이 사용 가능한 응답
89,최종 스트레스 테스트형,high,중간,overconfident_response,대표,차별 위험을 법적 단정에 가깝게 표현
90,최종 스트레스 테스트형,high,중간,overconfident_response,대표,오늘 중 확인 가능성을 과장
