part,topic,main_result,difference,statistical_result,interpretation
Part 1. A/B Test,D1 Retention,"gate_30 44.82%, gate_40 44.23%",-0.59%p,p-value 0.0744,gate_40은 D1 Retention에서 유의수준 5% 기준 명확한 개선을 보이지 못했다.
Part 1. A/B Test,D7 Retention,"gate_30 19.02%, gate_40 18.20%",-0.82%p,p-value 0.0016,"gate_40은 D7 Retention이 유의하게 낮아, 실험안 적용에 신중해야 한다."
Part 2. Review Signal,Google Play 리뷰 수집 규모,"앱 100개, 리뷰 9,761건",-,-,캐주얼/하이퍼캐주얼 게임 리뷰를 직접 수집해 앱마켓 유저 경험 신호 분석 기반을 구축했다.
Part 2. Review Signal,광고 불만 리뷰,"광고 불만 리뷰 896건, 비율 9.18%",광고 불만 포함 2.58점 vs 미포함 4.21점,-,"광고 불만이 포함된 리뷰는 평균 점수가 낮아, 광고 수익형 게임에서 광고 경험이 만족도 리스크로 나타날 수 있다."
Part 2. Review Signal,리스크 신호 리뷰,리스크 신호 포함 리뷰 비율 18.82%,-,-,"광고, 오류, 반복성, 과금 등 리뷰 신호를 통해 앱마켓에서 관찰 가능한 UX 리스크를 구조화했다."
Part 2. Review Signal,가장 큰 점수 하락 신호,과금/IAP,-1.76점,-,"해당 신호가 포함된 리뷰는 미포함 리뷰보다 평균 점수가 낮아, 주요 UX 리스크 후보로 해석할 수 있다."
Part 3. Campaign KPI/ROAS/ML,채널별 D7 ROAS,"최고 Unity Ads 0.0647, 최저 TikTok 0.0354",-,-,채널별 유입 비용뿐 아니라 유입 이후 수익성 차이를 함께 확인해야 한다.
Part 3. Campaign KPI/ROAS/ML,CPI와 ROAS의 차이,최저 CPI 채널: TikTok 4.71,D7 ROAS 0.0354,-,"CPI가 낮은 채널이 반드시 좋은 채널은 아니며, D7 Retention과 D7 ROAS를 함께 봐야 한다."
Part 3. Campaign KPI/ROAS/ML,Scale 후보,3개 캠페인,평균 D7 ROAS 0.0757,-,성과 점수가 높은 캠페인은 예산 확대 후보로 분류했다.
Part 3. Campaign KPI/ROAS/ML,Reduce 후보,10개 캠페인,평균 D7 ROAS 0.0369,-,성과 점수가 낮은 캠페인은 예산 축소 또는 소재/타겟 점검 후보로 분류했다.
Part 3. Campaign KPI/ROAS/ML,D7 ROAS 예측 모델,"Linear Regression MAE 0.0097, R² 0.538",-,-,"모델 성능 자체를 과장하지 않고, 예측 오차가 큰 세그먼트를 확인해 Feature Engineering 개선 방향을 도출하는 데 초점을 두었다."
